class: 50000+,race: White,age<26,age=26-61,age>=61,wage per hour<501,wage per hour=501-1001,wage per hour>=1001,industry code<31,occupation code<11,capital gains<501,capital losses<501,dividens from stock<501,dividens from stock=501-2001,dividens from stock>=2001,num persons worked for employer<1,weeks worked in year<27,weeks worked in year=27-52,weeks worked in year>=52,class of worker= Not in universe,class of worker= Self-employed-not incorporated,class of worker= Private,class of worker= Local government,class of worker= Federal government,class of worker= Self-employed-incorporated,class of worker= State government,class of worker= Never worked,class of worker= Without pay,education= High school graduate,education= Some college but no degree,education= 10th grade,education= Children,education= Bachelors degree(BA AB BS),education= Masters degree(MA MS MEng MEd MSW MBA),education= Less than 1st grade,education= Associates degree-academic program,education= 7th and 8th grade,education= 12th grade no diploma,education= Associates degree-occup /vocational,education= Prof school degree (MD DDS DVM LLB JD),education= 5th or 6th grade,education= 11th grade,education= 9th grade,education= 1st 2nd 3rd or 4th grade,education= Doctorate degree(PhD EdD),marital stat= Widowed,marital stat= Divorced,marital stat= Never married,marital stat= Married-civilian spouse present,marital stat= Separated,marital stat= Married-spouse absent,marital stat= Married-A F spouse present,hispanic origin= All other,hispanic origin= Do not know,hispanic origin= Central or South American,hispanic origin= Mexican (Mexicano),hispanic origin= Mexican-American,hispanic origin= Other Spanish,hispanic origin= Cuban,hispanic origin= Puerto Rican,hispanic origin= Chicano,gender= Female,member of a labor union= Not in universe,member of a labor union= No,member of a labor union= Yes,reason for unemployment= Not in universe,reason for unemployment= Job loser - on layoff,reason for unemployment= Other job loser,reason for unemployment= New entrant,reason for unemployment= Re-entrant,reason for unemployment= Job leaver,full or part time employment stat= Not in labor force,full or part time employment stat= Children or Armed Forces,full or part time employment stat= Full-time schedules,full or part time employment stat= Unemployed full-time,full or part time employment stat= Unemployed part- time,full or part time employment stat= PT for non-econ reasons usually FT,full or part time employment stat= PT for econ reasons usually PT,full or part time employment stat= PT for econ reasons usually FT,tax filer stat= Nonfiler,tax filer stat= Head of household,tax filer stat= Joint both under 65,tax filer stat= Single,tax filer stat= Joint both 65+,tax filer stat= Joint one under 65 & one 65+,region of previous residence= Not in universe,region of previous residence= South,region of previous residence= Midwest,region of previous residence= West,region of previous residence= Northeast,region of previous residence= Abroad,detailed household summary in household= Other relative of householder,detailed household summary in household= Householder,detailed household summary in household= Child 18 or older,detailed household summary in household= Child under 18 never married,detailed household summary in household= Spouse of householder,detailed household summary in household= Nonrelative of householder,detailed household summary in household= Group Quarters- Secondary individual,detailed household summary in household= Child under 18 ever married,family members under 18= Not in universe,family members under 18= Both parents present,family members under 18= Neither parent present,family members under 18= Mother only present,family members under 18= Father only present,citizenship= Native- Born in the United States,citizenship= Foreign born- Not a citizen of U S,citizenship= Foreign born- U S citizen by naturalization,citizenship= Native- Born abroad of American Parent(s),citizenship= Native- Born in Puerto Rico or U S Outlying,own business or self-employed=0,own business or self-employed=2,own business or self-employed=1,fill inc questionnaire for veteran's admin= Not in universe,fill inc questionnaire for veteran's admin= No,fill inc questionnaire for veteran's admin= Yes,veterans benefits=2,veterans benefits=0,veterans benefits=1,year=95
0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
